1.3061, 11.0357, 1
6.3307, 4.1212, 0
3.9551, 33.2382, 1
3.9085, 0.9124, 0
3.8617, 0.4723, 0
4.1689, 2.1493, 0
2.9484, 21.6888, 1
1.4957, 2.5461, 1
3.4992, 1.0391, 0
3.0666, 2.7303, 0
3.1123, 1.0377, 0
4.6487, 4.4307, 0
3.1060, 1.3867, 0
4.3896, 2.5571, 0
5.0496, 0.6482, 0
5.0981, 3.8422, 0
4.5879, 1.7973, 0
4.5145, 2.8690, 0
2.0558, 11.8662, 1
4.0232, 4.1025, 0
2.4416, 16.5542, 1
1.8099, 5.7063, 1
4.1385, 1.9442, 0
3.8160, 2.9537, 0
3.6301, 15.8347, 1
3.4763, 3.0292, 0
4.5870, 0.0335, 0
2.8103, 16.3956, 1
1.7762, 7.5970, 1
4.0997, 2.7749, 0
5.1363, 5.4867, 0
6.4053, 3.2209, 0
0.6148, 5.2668, 1
4.0737, 3.9239, 0
1.1838, 11.0583, 1
1.4937, 2.5605, 1
3.4411, 31.2599, 1
3.4918, 1.6884, 0
4.1083, 4.4178, 0
2.3068, 22.4968, 1
3.2607, 2.5416, 0
5.0006, 0.0921, 0
2.7613, 23.6677, 1
3.8840, 3.7258, 0
3.4511, 3.5792, 0
1.6657, 9.8677, 1
5.2832, 4.0840, 0
2.3541, 19.0654, 1
3.9498, 0.5758, 0
4.8806, 4.6213, 0
1.4360, 7.5943, 1
3.7156, 22.9078, 1
5.2920, 1.5637, 0
3.3566, 3.2306, 0
4.7374, 0.1141, 0
3.6365, 1.1119, 0
6.0418, 6.4774, 0
5.2337, 2.6530, 0
2.9056, 16.4967, 1
2.4532, 18.9441, 1
3.2846, 3.3089, 0
0.5638, 4.1987, 1
5.4227, 0.7999, 0
0.5302, 1.8101, 1
6.2496, 1.9260, 0
6.3143, 4.5101, 0
0.6415, 4.8081, 1
1.6584, 10.0619, 1
6.4364, 3.3707, 0
6.0295, 2.5684, 0
3.1330, 0.2711, 0
4.0927, 1.4546, 0
3.7688, 2.4539, 0
4.0323, 2.9082, 0
1.5428, 14.3563, 1
5.8655, 5.1186, 0
5.1723, 2.4068, 0
3.8348, 3.2480, 0
5.4251, 3.0116, 0
3.1490, 30.4445, 1
1.1967, 2.2270, 1
